n_samples,method,avg_opt_gap,std_opt_gap,max_opt_gap
32,constant,0.024948871838218326,0.033704342342659524,0.1486954937989675
32,cv_reg,0.08627725030046203,0.14635208389445725,0.6374815910962524
32,qcv_ro,0.0099031322633789,0.013568569971359955,0.052038552001698365
64,constant,0.01006744101628728,0.010426092389314188,0.038999328564696394
64,cv_reg,0.05233456329025885,0.06597090043319843,0.16885243628066107
64,qcv_ro,0.007688693101495765,0.009943698830699437,0.03147371515064856
128,constant,0.0051507996759331915,0.005060554993724949,0.01724277792920887
128,cv_reg,0.010822013392115444,0.01523464493410446,0.05257827288901199
128,qcv_ro,0.0033595982421663153,0.004867620531622221,0.014377073256716142
256,constant,0.004248142962203058,0.0032915512970206734,0.009647555419931049
256,cv_reg,0.003091480293112066,0.004015486198052561,0.017301201880774823
256,qcv_ro,0.0017306576259640324,0.0024696879682836424,0.006919141597454951
512,constant,0.0014367548189528738,0.002249328206162974,0.0075120833033805205
512,cv_reg,0.007045885285471535,0.01270815799625822,0.04600919087995611
512,qcv_ro,0.000979467144047079,0.0015782295890535202,0.00499416456256986
1024,constant,0.0010493608098934763,0.001436521538155141,0.0051447901294658935
1024,cv_reg,0.0017907176421882928,0.0024281806263855197,0.009249306549069617
1024,qcv_ro,0.0008952014775722272,0.001397828743225654,0.004995762591353274
