n_samples,L1_QC_mean,L1_QC_std,L1_QC_max,L1_PC_mean,L1_PC_std,L1_PC_max,L1_CR_mean,L1_CR_std,L1_CR_max
16,0.011132132306913168,,0.011132132306913168,0.013800518278324046,,0.013800518278324046,0.014674928118265616,,0.014674928118265616
32,0.01149572012688924,,0.01149572012688924,0.013777351313480367,,0.013777351313480367,0.03589738346374054,,0.03589738346374054
64,0.00733539892595506,,0.00733539892595506,0.00901242389940131,,0.00901242389940131,0.041110211080085925,,0.041110211080085925
128,0.00787421794601963,,0.00787421794601963,0.009049891481960788,,0.009049891481960788,0.04852174871684615,,0.04852174871684615
256,0.005017062571394933,,0.005017062571394933,0.006065810820114545,,0.006065810820114545,0.024763248680349473,,0.024763248680349473
512,0.003855487730867832,,0.003855487730867832,0.005538571584719467,,0.005538571584719467,0.022849201059242957,,0.022849201059242957
1024,0.0022630549386220026,,0.0022630549386220026,0.0032463663991191237,,0.0032463663991191237,0.02488104406981021,,0.02488104406981021
